-2.26,-35.81,-0.0255,0.4887,-0.4366,elbow_lock
-7.5,-40.52,0.0214,0.5035,-0.4955,elbow_lock
-13.25,-45.07,0.0619,0.287,-0.4607,elbow_lock
-16.5,-45.52,0.0483,0.1786,-0.409,elbow_lock
-18.37,-43,0.0736,0.147,-0.3999,elbow_lock
-18.53,-35.13,0.1225,0.1563,-0.3503,elbow_lock
-17.12,-26.85,0.2098,0.2083,-0.3079,elbow_lock
-9.75,-9.43,0.3757,0.1588,-0.1029,elbow_lock
-4.84,-2.65,0.4616,0.1383,-0.0183,elbow_lock
1.84,4.38,0.4899,0.0531,0.2512,elbow_lock
19.34,5.48,-0.2267,-0.098,-0.5397,elbow_lock
18.55,3.23,-0.281,-0.1213,-0.4424,elbow_lock
17.89,4.37,-0.3053,-0.1846,-0.3664,elbow_lock
17.1,8.31,-0.2856,-0.1589,-0.3056,elbow_lock
14.87,15.59,-0.2557,-0.0018,-0.1327,elbow_lock
12.85,20.88,-0.1713,0.1376,0.1523,elbow_lock
10.25,26.92,0.0561,0.1445,0.4361,elbow_lock
8.42,33.97,0.1503,0.1786,0.4816,elbow_lock
7.76,38.4,0.4847,0.5173,0.5787,elbow_lock
6.82,32.3,0.4306,0.4111,0.4923,elbow_lock
6.99,24.61,0.4367,0.2147,0.3619,elbow_lock
8.21,15.19,0.4887,0.1975,0.2379,elbow_lock
9.18,7.5,0.4899,0.254,0.0937,elbow_lock
10.84,-1.46,0.4107,0.229,-0.0309,elbow_lock
12.6,-6.26,0.3233,0.4035,-0.0953,elbow_lock
14.37,-12.25,0.1586,0.4291,-0.2458,elbow_lock
17.66,-18.73,-0.0089,0.3653,-0.392,elbow_lock
20.08,-22.06,-0.1109,0.4283,-0.4379,elbow_lock
22.37,-27,-0.1995,0.3953,-0.4531,elbow_lock
23.14,-30.06,-0.2693,0.3385,-0.4384,elbow_lock
23.64,-31.81,-0.2994,0.272,-0.3833,elbow_lock
